"#";"Url";"Type";"Anchor";"No-follow";"Google cachedate";"SEMrush backlinks"
"1";"https://wallacecollisionrepair.com/";"text";"Skip to content";"No";"?";"?"
"";"";"image";"Wallace Collision Center Logo Small";"No"
"";"";"text";"Resources";"No"
"";"";"text";"Menu Close";"No"
"";"";"text";"Home";"No"
"";"";"text";"";"No"
"2";"https://wallacecollisionrepair.com/covid-19-updates/";"text";"COVID-19 UPDATE: We're Open! Click Here to Learn How We Are Preparing & Responding.";"No";"?";"?"
"3";"https://wallacecollisionrepair.com/start-estimate/";"text";"Start Estimate";"No";"?";"?"
"4";"https://wallacecollisionrepair.com/about-us/";"text";"About";"No";"?";"?"
"";"";"text";"About Us";"No"
"";"";"text";"LEARN MORE";"No"
"5";"https://wallacecollisionrepair.com/about-us/testmonials/";"text";"Testmonials";"No";"?";"?"
"6";"https://wallacecollisionrepair.com/about-us/our-community/";"text";"Our Community";"No";"?";"?"
"7";"https://wallacecollisionrepair.com/about-us/dealerships/";"text";"Dealerships";"No";"?";"?"
"";"";"text";"LEARN MORE";"No"
"8";"https://wallacecollisionrepair.com/careers/";"text";"Careers";"No";"?";"?"
"9";"https://wallacecollisionrepair.com/certifications/";"text";"Certifications";"No";"?";"?"
"";"";"text";"LEARN ABOUT CERTIFICATIONS";"No"
"10";"https://wallacecollisionrepair.com/services/";"text";"Services";"No";"?";"?"
"";"";"text";"Repair Services";"No"
"";"";"text";"LEARN ABOUT OUR SERVICES";"No"
"11";"https://wallacecollisionrepair.com/white%e2%80%91glove-repair-service/";"text";"White‑Glove Repair Service";"No";"?";"?"
"";"";"text";"Explore White-Glove Service";"No"
"12";"https://wallacecollisionrepair.com/faq/";"text";"Frequently Asked Questions";"No";"?";"?"
"13";"https://wallacecollisionrepair.com/accident-repair-guide/";"text";"Accident Repair Guide";"No";"?";"?"
"14";"https://wallacecollisionrepair.com/online-repair-authorization/";"text";"Online Repair Authorization";"No";"?";"?"
"15";"https://wallacecollisionrepair.com/contact-us/";"text";"Contact Us";"No";"?";"?"
"16";"https://wallacecollisionrepair.com/repair-estimate/";"text";"Start Estimate";"No";"?";"?"
"";"";"text";"GET A FREE ESTIMATE";"No"
"17";"https://wallacecollisionrepair.com/about-us/certifications/";"text";"Nissan Certified Collision Repair Network";"No";"?";"?"
"";"";"text";"Porsche Approved Collision Center";"No"
"";"";"text";"Rivian Certified Collision Center";"No"
"";"";"text";"Subaru Certified Collision Center";"No"
"";"";"text";"Toyota Certified Collision Center";"No"
"";"";"text";"Volkswagen Certified Collision Repair Facility";"No"
"";"";"text";"Tesla Approved Body Shop";"No"
"";"";"text";"BMW Certified Collision Repair Center";"No"
"";"";"text";"FCA Certified Collision Repair Center";"No"
"";"";"text";"Ford Certified Collision Network";"No"
"";"";"text";"I-CAR Gold Class";"No"
"";"";"text";"GM Collision Repair Network";"No"
"";"";"text";"Honda Acura Certified Collision Repair Facility";"No"
"";"";"text";"Hyundai Certified Collision Repair Center";"No"
"";"";"text";"Infiniti Certified Collision Repair Network";"No"
"";"";"text";"JLR Certified Repair Center";"No"
"";"";"text";"Kia Certified Collision Repair Center";"No"
"";"";"text";"Lucid Motors";"No"
"";"";"text";"LEARN MORE";"No"
